id,regime,step,timestamp,x_km,y_km,z_km,vx_kms,vy_kms,vz_kms
leo-6350,leo,26,2026-02-04T15:31:41.159035296875Z,1127.382125,6535.496,-1777.1395,-4.64954099325532,2.300134510801301,5.551751439734519
leo-6350,leo,27,2026-02-04T15:33:23.19980678125Z,645.70125,6728.331,-1199.21675,-4.761192901696099,1.4669528446570148,5.739232565873686
leo-6350,leo,28,2026-02-04T15:35:05.240578265625Z,155.71053125,6834.874,-605.8680625,-4.8118253895717045,0.6142005699123547,5.853073842171122
leo-6350,leo,29,2026-02-04T15:36:47.28134975Z,-336.3035,6853.678,-4.7124091796875,-4.800662238990647,-0.24716703066486662,5.891693065081488
leo-6350,leo,30,2026-02-04T15:38:29.322365375Z,-824.0171875,6784.4315,596.5191875,-4.7277429228386545,-1.1060208355258074,5.8544739966812624
leo-6350,leo,31,2026-02-04T15:40:11.363136859375Z,-1301.14975,6627.9595,1190.079125,-4.593926887565527,-1.951227407472983,5.741788529496913
leo-6350,leo,32,2026-02-04T15:41:53.40390834375Z,-1761.552875,6386.222,1768.31225,-4.400889158984494,-2.771786668070312,5.5549970786608265
leo-6350,leo,33,2026-02-04T15:43:35.444679828125Z,-2199.29,6062.289,2323.7515,-4.151082761706293,-3.557019363143274,5.296429477532485
leo-6350,leo,34,2026-02-04T15:45:17.4854513125Z,-2608.71225,5660.3,2849.21575,-3.847705865886366,-4.29670408820004,4.969353108797752
leo-6350,leo,35,2026-02-04T15:46:59.526222796875Z,-2984.53575,5185.411,3337.90475,-3.4946471809468678,-4.981232546888652,4.577935965610522
leo-6350,leo,36,2026-02-04T15:48:41.567238421875Z,-3321.906,4643.721,3783.489,-3.0964333295728155,-5.60173158686333,4.127191578310207
leo-6350,leo,37,2026-02-04T15:50:23.60800990625Z,-3616.4615,4042.19975,4180.1895,-2.65818746814879,-6.150159302706725,3.622897442093603
leo-6350,leo,38,2026-02-04T15:52:05.648781390625Z,-3864.393,3388.587,4522.8555,-2.1855271354367285,-6.619419033924381,3.0715344997954346
leo-6350,leo,39,2026-02-04T15:53:47.689552875Z,-4062.48725,2691.2985,4807.033,-1.6845349902741655,-7.0034371026823194,2.480209589935854
leo-6350,leo,40,2026-02-04T15:55:29.730324359375Z,-4208.1755,1959.31475,5029.0205,-1.1616667854980987,-7.297240006794926,1.8565348658600487
leo-6350,leo,41,2026-02-04T15:57:11.77109584375Z,-4299.562,1202.0665,5185.9175,-0.6236574786096244,-7.496995522390323,1.2085603725511573
leo-6350,leo,42,2026-02-04T15:58:53.81211146875Z,-4335.4525,429.31446875,5275.6655,-0.07745057158723648,-7.600076654032925,0.5446703870116762
leo-6350,leo,43,2026-02-04T16:00:35.8526388125Z,-4315.3685,-348.96884375,5297.075,0.46989174981926407,-7.605092394735948,-0.12653849610610268
leo-6350,leo,44,2026-02-04T16:02:17.8936544375Z,-4239.556,-1122.7445,5249.841,1.0113028997990259,-7.511901693942004,-0.7963758445784297
leo-6350,leo,45,2026-02-04T16:03:59.9346700625Z,-4108.97975,-1882.013,5134.549,1.5397913965055086,-7.32162797217665,-1.45613520118015
leo-6350,leo,46,2026-02-04T16:05:41.97519740625Z,-3925.31325,-2616.95375,4952.671,2.048509635761249,-7.0366513356037705,-2.097221465202234
leo-6350,leo,47,2026-02-04T16:07:24.01621303125Z,-3690.9165,-3318.0635,4706.5445,2.5308693808969656,-6.6605841708040465,-2.711275523387787
leo-6350,leo,48,2026-02-04T16:09:06.056740375Z,-3408.80975,-3976.25625,4399.35,2.980617601419575,-6.198239330022754,-3.2902790572036937
leo-6350,leo,49,2026-02-04T16:10:48.097756Z,-3082.62725,-4583.0095,4035.059,3.4125469119309857,-5.694101142749758,-3.8498105973087076
leo-447,leo,0,2026-02-05T02:45:53.108055Z,2820.67,5228.687,4472.6335,-3.965489113694861,5.12705125306045,-3.5457600175375954
leo-447,leo,1,2026-02-05T02:47:35.1488722607421875Z,2403.895,5722.9675,4090.17325,-4.2033008115176305,4.560846458244203,-3.9504608138324513
leo-447,leo,2,2026-02-05T02:49:17.189689521484375Z,1962.8535,6159.472,3666.417,-4.419373391997368,3.972795265065328,-4.334379836541835
leo-447,leo,3,2026-02-05T02:50:59.2304915234375Z,1501.982125,6533.742,3205.606,-4.590925085722337,3.3442157661717866,-4.674810609689552
leo-447,leo,4,2026-02-05T02:52:41.27132404296875Z,1025.93,6841.965,2712.374,-4.716124715769834,2.6816596240855253,-4.968158994736223
leo-447,leo,5,2026-02-05T02:54:23.312126044921875Z,539.5076875,7081.0195,2191.696,-4.793660681531955,1.9920536296462015,-5.211358369074966
leo-447,leo,6,2026-02-05T02:56:05.352928046875Z,47.6320390625,7248.5065,1648.831625,-4.822756202011299,1.2826363455452738,-5.401889163574867
